Date	Latitude(deg)	Longitude(deg)	hamsl(m)	hafl(m)	climbrate(cm/s)	GroundSpeed(m/s)	Airspeed(m/s)	Mav_Link(%)	Rssi_Link(%)	Throttle	Roll(deg)	Pitch(deg)	Yaw(deg)	Rollrate(dps)	Pitchrate(dps)	Yawrate(dps)	accelX(m/s/s)	accelY(m/s/s)	accelZ(m/s/s)	vgN(mps)	vgE(mps)	vgD(mps)	Aileron(unit)	Elevator(unit)	Rudder(unit)	Throttle(unit)
17:56:00:772	47.46363	-122.3077	0.02132831	0.02132831	0	0	0	0	0	0	1.395375	2.206735	161.4904	0.2008693	-1.463082	0	0	0	-1001.204	0	0	-0.001038164	-3	-3	-3	0	
17:56:00:789	47.46363	-122.3077	0.02132831	0.02132831	0	0	0	0	0	0	1.395375	2.206735	161.4904	0.2008693	-1.463082	0	0	0	-1001.204	0	0	-0.001038164	-3	-3	-3	0	
17:56:00:813	47.46363	-122.3077	0.02132831	0.02132831	0	0	0	0	0	0	1.395375	2.206735	161.4904	0.2008693	-1.463082	0	0	0	-1001.204	0	0	-0.001038164	-3	-3	-3	0	
17:56:00:854	47.46363	-122.3077	0.02132831	0.02132831	0	0	0	0	0	0	1.395375	2.206735	161.4904	0.2008693	-1.463082	0	0	0	-1001.204	0	0	-0.001038164	-3	-3	-3	0	
17:56:00:870	47.46363	-122.3077	0.02132831	0.02132831	0	0	0	0	0	0	1.395375	2.206735	161.4904	0.2008693	-1.463082	0	0	0	-1001.204	0	0	-0.001038164	-3	-3	-3	0	
17:56:00:892	47.46363	-122.3077	0.02135662	0.02135662	0	0	0	0	0	0	1.395375	2.206735	161.4904	0.2008693	-1.463082	0	0	0	-1001.204	0	0	-0.0001236891	-3	-3	-3	0	
17:56:00:912	47.46363	-122.3077	0.02135662	0.02135662	0	0	0	0	0	0	1.404179	2.140733	161.4888	0.1640048	-1.25832	0	0	0	-1000.211	0	0	-0.0001236891	-3	-3	-3	0	
17:56:00:949	47.46363	-122.3077	0.02135662	0.02135662	0	0	0	0	0	0	1.404179	2.140733	161.4888	0.1640048	-1.25832	0	0	0	-1000.211	0	0	-0.0001236891	-3	-3	-3	0	
17:56:00:969	47.46363	-122.3077	0.02135662	0.02135662	0	0	0	0	0	0	1.404179	2.140733	161.4888	0.1640048	-1.25832	0	0	0	-1000.211	0	0	-0.0001236891	-3	-3	-3	0	
17:56:00:989	47.46363	-122.3077	0.02135662	0.02135662	0	0	0	0	0	0	1.404179	2.140733	161.4888	0.1640048	-1.25832	0	0	0	-1000.211	0	0	-0.0001236891	-3	-3	-3	0	
17:56:01:10	47.46363	-122.3077	0.02135662	0.02135662	0	0	0	0	0	0	1.404179	2.140733	161.4888	0.1640048	-1.25832	0	0	0	-1000.211	0	0	-0.0001236891	-3	-3	-3	0	
17:56:01:50	47.46363	-122.3077	0.02135662	0.02135662	0	0	0	0	0	0	1.40978	2.087085	161.4875	0.09354722	-1.001438	0	0	0	-999.4755	0	0	-0.0001236891	-3	-3	-3	0	
17:56:01:54	47.46363	-122.3077	0.02135662	0.02135662	0	0	0	0	0	0	1.40978	2.087085	161.4875	0.09354722	-1.001438	0	0	0	-999.4755	0	0	-0.0001236891	-3	-3	-3	0	
17:56:01:71	47.46363	-122.3077	0.02135662	0.02135662	0	0	0	0	0	0	1.40978	2.087085	161.4875	0.09354722	-1.001438	0	0	0	-999.4755	0	0	-0.0001236891	-3	-3	-3	0	
17:56:01:92	47.46363	-122.3077	0.02135662	0.02135662	0	0	0	0	0	0	1.40978	2.087085	161.4875	0.09354722	-1.001438	0	0	0	-999.4755	0	0	-0.0001236891	-3	-3	-3	0	
17:56:01:112	47.46363	-122.3077	0.02137224	0.02137224	0	0	0	0	0	0	1.40978	2.087085	161.4875	0.09354722	-1.001438	0	0	0	-999.4755	0	0	-0.0004886715	-3	-3	-3	0	
17:56:01:154	47.46363	-122.3077	0.02137224	0.02137224	0	0	0	0	0	0	1.40978	2.087085	161.4875	0.09354722	-1.001438	0	0	0	-999.4755	0	0	-0.0004886715	-3	-3	-3	0	
17:56:01:176	47.46363	-122.3077	0.02137224	0.02137224	0	0	0	0	0	0	1.40978	2.087085	161.4875	0.09354722	-1.001438	0	0	0	-999.4755	0	0	-0.0004886715	-3	-3	-3	0	
17:56:01:195	47.46363	-122.3077	0.02137224	0.02137224	0	0	0	0	0	0	1.40978	2.087085	161.4875	0.09354722	-1.001438	0	0	0	-999.4755	0	0	-0.0004886715	-3	-3	-3	0	
17:56:01:209	47.46363	-122.3077	0.02137224	0.02137224	0	0	0	0	0	0	1.40978	2.087085	161.4875	0.09354722	-1.001438	0	0	0	-999.4755	0	0	-0.0004886715	-3	-3	-3	0	
17:56:01:272	47.46363	-122.3077	0.02137224	0.02137224	0	0	0	0	0	0	1.40978	2.087085	161.4875	0.09354722	-1.001438	0	0	0	-999.4755	0	0	-0.0004886715	-3	-3	-3	0	
17:56:01:294	47.46363	-122.3077	0.02137224	0.02137224	0	0	0	0	0	0	1.40978	2.087085	161.4875	0.09354722	-1.001438	0	0	0	-999.4755	0	0	-0.0004886715	-3	-3	-3	0	
17:56:01:313	47.46363	-122.3077	0.02144423	0.02144423	0	0	0	0	0	0	1.40978	2.087085	161.4875	0.09354722	-1.001438	0	0	0	-999.4755	0	0	-0.0006963919	-3	-3	-3	0	
17:56:01:381	47.46363	-122.3077	0.02144423	0.02144423	0	0	0	0	0	0	1.40978	2.087085	161.4875	0.09354722	-1.001438	0	0	0	-999.4755	0	0	-0.0006963919	-3	-3	-3	0	
17:56:01:403	47.46363	-122.3077	0.02144423	0.02144423	0	0	0	0	0	0	1.40978	2.087085	161.4875	0.09354722	-1.001438	0	0	0	-999.4755	0	0	-0.0006963919	-3	-3	-3	0	
17:56:01:405	47.46363	-122.3077	0.02144423	0.02144423	0	0	0	0	0	0	1.40978	2.087085	161.4875	0.09354722	-1.001438	0	0	0	-999.4755	0	0	-0.0006963919	-3	-3	-3	0	
17:56:01:415	47.46363	-122.3077	0.02144423	0.02144423	0	0	0	0	0	0	1.40978	2.087085	161.4875	0.09354722	-1.001438	0	0	0	-999.4755	0	0	-0.0006963919	-3	-3	-3	0	
17:56:01:472	47.46363	-122.3077	0.02144423	0.02144423	0	0	0	0	0	0	1.412507	2.047435	161.4865	0.04266361	-0.716943	0	0	0	-999.6912	0	0	-0.0006963919	-3	-3	-3	0	
17:56:01:493	47.46363	-122.3077	0.02144423	0.02144423	0	0	0	0	0	0	1.412507	2.047435	161.4865	0.04266361	-0.716943	0	0	0	-999.6912	0	0	-0.0006963919	-3	-3	-3	0	
17:56:01:513	47.46363	-122.3077	0.02144423	0.02144423	0	0	0	0	0	0	1.412507	2.047435	161.4865	0.04266361	-0.716943	0	0	0	-999.6912	0	0	-0.0006963919	-3	-3	-3	0	
17:56:01:555	47.46363	-122.3077	0.02144423	0.02144423	0	0	0	0	0	0	1.412507	2.047435	161.4865	0.04266361	-0.716943	0	0	0	-999.6912	0	0	-0.0006963919	-3	-3	-3	0	
17:56:01:576	47.46363	-122.3077	0.02144423	0.02144423	0	0	0	0	0	0	1.412507	2.047435	161.4865	0.04266361	-0.716943	0	0	0	-999.6912	0	0	-0.0006963919	-3	-3	-3	0	
17:56:01:591	47.46363	-122.3077	0.02144423	0.02144423	0	0	0	0	0	0	1.412507	2.047435	161.4865	0.04266361	-0.716943	0	0	0	-999.6912	0	0	-0.0006963919	-3	-3	-3	0	
17:56:01:616	47.46363	-122.3077	0.02144423	0.02144423	0	0	0	0	0	0	1.413415	2.022302	161.4859	0.01314492	-0.4286002	0	0	0	-999.752	0	0	-0.0006963919	-3	-3	-3	0	
17:56:01:652	47.46363	-122.3077	0.02144423	0.02144423	0	0	0	0	0	0	1.413415	2.022302	161.4859	0.01314492	-0.4286002	0	0	0	-999.752	0	0	-0.0006963919	-3	-3	-3	0	
17:56:01:673	47.46363	-122.3077	0.02144423	0.02144423	0	0	0	0	0	0	1.413415	2.022302	161.4859	0.01314492	-0.4286002	0	0	0	-999.752	0	0	-0.0006963919	-3	-3	-3	0	
17:56:01:698	47.46363	-122.3077	0.02144423	0.02144423	0	0	0	0	0	0	1.413415	2.022302	161.4859	0.01314492	-0.4286002	0	0	0	-999.752	0	0	-0.0006963919	-3	-3	-3	0	
17:56:01:713	47.46363	-122.3077	0.02147346	0.02147346	0	0	0	0	0	0	1.413415	2.022302	161.4859	0.01314492	-0.4286002	0	0	0	-999.752	0	0	-0.0005463184	-3	-3	-3	0	
17:56:01:755	47.46363	-122.3077	0.02147346	0.02147346	0	0	0	0	0	0	1.413342	2.011086	161.4856	-0.004511365	-0.1570039	0	0	0	-999.6254	0	0	-0.0005463184	-3	-3	-3	0	
17:56:01:781	47.46363	-122.3077	0.02147346	0.02147346	0	0	0	0	0	0	1.413342	2.011086	161.4856	-0.004511365	-0.1570039	0	0	0	-999.6254	0	0	-0.0005463184	-3	-3	-3	0	
17:56:01:798	47.46363	-122.3077	0.02147346	0.02147346	0	0	0	0	0	0	1.413342	2.011086	161.4856	-0.004511365	-0.1570039	0	0	0	-999.6254	0	0	-0.0005463184	-3	-3	-3	0	
17:56:01:816	47.46363	-122.3077	0.02147346	0.02147346	0	0	0	0	0	0	1.413342	2.011086	161.4856	-0.004511365	-0.1570039	0	0	0	-999.6254	0	0	-0.0005463184	-3	-3	-3	0	
17:56:01:861	47.46363	-122.3077	0.02147346	0.02147346	0	0	0	0	0	0	1.413342	2.011086	161.4856	-0.004511365	-0.1570039	0	0	0	-999.6254	0	0	-0.0005463184	-3	-3	-3	0	
17:56:01:875	47.46363	-122.3077	0.02147346	0.02147346	0	0	0	0	0	0	1.413342	2.011086	161.4856	-0.004511365	-0.1570039	0	0	0	-999.6254	0	0	-0.0005463184	-3	-3	-3	0	
17:56:01:894	47.46363	-122.3077	0.02147346	0.02147346	0	0	0	0	0	0	1.412866	2.012795	161.4857	-0.01064532	0.09561958	0	0	0	-999.7907	0	0	-0.0005463184	-3	-3	-3	0	
17:56:01:915	47.46363	-122.3077	0.02149222	0.02149222	0	0	0	0	0	0	1.412866	2.012795	161.4857	-0.01064532	0.09561958	0	0	0	-999.7907	0	0	-0.0003368917	-3	-3	-3	0	
17:56:01:958	47.46363	-122.3077	0.02149222	0.02149222	0	0	0	0	0	0	1.412866	2.012795	161.4857	-0.01064532	0.09561958	0	0	0	-999.7907	0	0	-0.0003368917	-3	-3	-3	0	
17:56:01:976	47.46363	-122.3077	0.02149222	0.02149222	0	0	0	0	0	0	1.412866	2.012795	161.4857	-0.01064532	0.09561958	0	0	0	-999.7907	0	0	-0.0003368917	-3	-3	-3	0	
17:56:01:994	47.46363	-122.3077	0.02149222	0.02149222	0	0	0	0	0	0	1.412866	2.012795	161.4857	-0.01064532	0.09561958	0	0	0	-999.7907	0	0	-0.0003368917	-3	-3	-3	0	
17:56:02:18	47.46363	-122.3077	0.02149222	0.02149222	0	0	0	0	0	0	1.412573	2.024783	161.486	-0.005061079	0.2831512	0	0	0	-1000.018	0	0	-0.0003368917	-3	-3	-3	0	
17:56:02:54	47.46363	-122.3077	0.02149222	0.02149222	0	0	0	0	0	0	1.412573	2.024783	161.486	-0.005061079	0.2831512	0	0	0	-1000.018	0	0	-0.0003368917	-3	-3	-3	0	
17:56:02:58	47.46363	-122.3077	0.02149222	0.02149222	0	0	0	0	0	0	1.412573	2.024783	161.486	-0.005061079	0.2831512	0	0	0	-1000.018	0	0	-0.0003368917	-3	-3	-3	0	
17:56:02:79	47.46363	-122.3077	0.02149222	0.02149222	0	0	0	0	0	0	1.412573	2.024783	161.486	-0.005061079	0.2831512	0	0	0	-1000.018	0	0	-0.0003368917	-3	-3	-3	0	
17:56:02:98	47.46363	-122.3077	0.02149222	0.02149222	0	0	0	0	0	0	1.412573	2.024783	161.486	-0.005061079	0.2831512	0	0	0	-1000.018	0	0	-0.0003368917	-3	-3	-3	0	
17:56:02:115	47.46363	-122.3077	0.02149881	0.02149881	0	0	0	0	0	0	1.412573	2.024783	161.486	-0.005061079	0.2831512	0	0	0	-1000.018	0	0	9.990884E-05	-3	-3	-3	0	
17:56:02:161	47.46363	-122.3077	0.02149881	0.02149881	0	0	0	0	0	0	1.412406	2.044638	161.4865	-0.003328905	0.4285165	0	0	0	-1000.057	0	0	9.990884E-05	-3	-3	-3	0	
17:56:02:177	47.46363	-122.3077	0.02149881	0.02149881	0	0	0	0	0	0	1.412406	2.044638	161.4865	-0.003328905	0.4285165	0	0	0	-1000.057	0	0	9.990884E-05	-3	-3	-3	0	
17:56:02:197	47.46363	-122.3077	0.02149881	0.02149881	0	0	0	0	0	0	1.412406	2.044638	161.4865	-0.003328905	0.4285165	0	0	0	-1000.057	0	0	9.990884E-05	-3	-3	-3	0	
17:56:02:217	47.46363	-122.3077	0.02149881	0.02149881	0	0	0	0	0	0	1.412406	2.044638	161.4865	-0.003328905	0.4285165	0	0	0	-1000.057	0	0	9.990884E-05	-3	-3	-3	0	
