18:28:22:585	46.89513	-121.2877	1021.813	1021.813	0	0	0	0	0	0.8642545	-5.81401	-5.992722	32.99612	-0.5123349	0.1285105	-1.230563	-86.22627	24.50146	-997.175	21.25042	26.40478	3.163373	0.001282224	0.03125168	0.00307115	0.8642545	
18:28:22:705	46.89517	-121.2877	1020.36	1020.36	0	0	0	0	0	0.8642545	-5.844839	-5.992219	32.89503	-0.5106955	0.1340595	-1.238302	-86.67874	24.54218	-997.4445	21.38485	26.34434	3.166427	0.001277858	0.03124634	0.003090893	0.8642545	
18:28:22:743	46.89517	-121.2877	1020.36	1020.36	0	0	0	0	0	0.8642545	-5.8887	-5.990935	32.74886	-0.5083278	0.141826	-1.249391	-87.30824	24.60001	-997.8213	21.38485	26.34434	3.166427	0.00127171	0.03123835	0.003119116	0.8642545	
18:28:22:849	46.89517	-121.2877	1020.36	1020.36	0	0	0	0	0	0.8642545	-5.92699	-5.989282	32.61897	-0.506211	0.148471	-1.259242	-87.83781	24.65111	-998.1467	21.38485	26.34434	3.166427	0.001266594	0.03123154	0.003143845	0.8642545	
18:28:22:969	46.8952	-121.2876	1019.153	1019.153	0	0	0	0	0	0.8642545	-5.952452	-5.987907	32.53141	-0.5048996	0.1528249	-1.265861	-88.18392	24.68312	-998.3496	21.50047	26.28966	3.168011	0.001263021	0.03122712	0.003160573	0.8642545	
18:28:23:127	46.89524	-121.2875	1017.553	1017.553	0	0	0	0	0	0.8642545	-5.981159	-5.9861	32.4315	-0.5034147	0.1575862	-1.273302	-88.54505	24.71586	-998.5699	21.653	26.21374	3.168724	0.001259523	0.0312225	0.003178506	0.8642545	
18:28:23:226	46.89524	-121.2875	1017.553	1017.553	0	0	0	0	0	0.8642545	-6.026258	-5.982715	32.2721	-0.5012112	0.1648956	-1.284787	-89.12801	24.7685	-998.9249	21.653	26.21374	3.168724	0.001254033	0.03121554	0.00320739	0.8642545	
18:28:23:329	46.89526	-121.2875	1017.055	1017.055	0	0	0	0	0	0.8642545	-6.066382	-5.979165	32.12777	-0.4991907	0.1713065	-1.29499	-89.64086	24.81777	-999.2251	21.70092	26.18901	3.168641	0.001248993	0.03120931	0.003233284	0.8642545	
18:28:23:425	46.89526	-121.2875	1017.055	1017.055	0	0	0	0	0	0.8642545	-6.105343	-5.975233	31.98529	-0.4973174	0.1773515	-1.305033	-90.11625	24.86531	-999.5089	21.70092	26.18901	3.168641	0.001244084	0.03120323	0.003258352	0.8642545	
18:28:23:561	46.89529	-121.2874	1015.488	1015.488	0	0	0	0	0	0.8642545	-6.14398	-5.970887	31.84173	-0.4954396	0.1831972	-1.315006	-90.57217	24.90992	-999.7815	21.84153	26.11412	3.167621	0.001239521	0.03119721	0.003283189	0.8642545	
